Profil Pathologique;ASA Min;Codes ATC clés;Logique de reconnaissance;Médicament(s) sentinelle(s);Seul suffit ?;Association typique;Impact anesthésique principal
CARDIOVASCULAIRE;;;;;;;
Coronarien stable;2;"B01AC06 (aspirine faible dose)
B01AC04 (clopidogrel)
C01DA (dérivés nitrés)
C10AA (statines)
C07AB (BB cardiosélectifs)
C09AA/C09CA (IEC/ARA2)";"SEUL SUFFIT : Aspirine faible dose (75-160mg) OU clopidogrel → quasi-pathognomonique.
Statine seule = dyslipidémie possible sans coronaropathie.
Trinitrine = confirmation formelle.";Aspirine 75-160mg, Clopidogrel, Trinitrine, Molsidomine;OUI (aspirine faible dose ou clopidogrel);"Aspirine + Statine + BB + IEC = coronarien typique
Ajout trinitrine ou molsidomine = angor actif";Gestion antiagrégants (délai chirurgie), risque ischémique péri-op, BB à maintenir, statines à maintenir
Post-SCA / Post-stent;2;"B01AC06 + B01AC04/B01AC24
(double antiagrégation)
B01AC22 (prasugrel)
B01AC24 (ticagrélor)";"ASSOCIATION NÉCESSAIRE : Double antiagrégation plaquettaire (DAPT) = aspirine + inhibiteur P2Y12.
Prasugrel ou ticagrélor = quasi-certitude de SCA récent/stent.";Ticagrélor, Prasugrel, Clopidogrel + Aspirine;OUI pour ticagrélor/prasugrel (quasi-pathognomonique SCA récent);"Aspirine + Ticagrélor/Prasugrel/Clopidogrel
± BB ± statine ± IEC";CRITIQUE : délai post-stent (BMS 6 sem, DES 6-12 mois), risque thrombose de stent si arrêt prématuré, concertation cardio
Fibrillation auriculaire (FA);2;"B01AF01 (rivaroxaban)
B01AF02 (apixaban)
B01AE07 (dabigatran)
B01AA (AVK)
C01BD01 (amiodarone)
C01BD07 (dronédarone)
C07AA07 (sotalol)";"SEUL SUFFIT : Tout AOD/AVK en l'absence d'autre indication = FA très probable.
Amiodarone = quasi-pathognomonique FA (ou TV).
Sotalol = très évocateur.";Apixaban, Rivaroxaban, Amiodarone, Flécaïnide;OUI (AOD ou antiarythmique);AOD/AVK + antiarythmique (amiodarone/flécaïnide/sotalol) + BB ralentisseur;Gestion anticoagulants (relais/fenêtre), risque AVC, antiarythmiques et interactions, ECG pré-op
Insuffisance cardiaque;3;"C09AA/C09CA (IEC/ARA2)
C07AB (BB : bisoprolol, carvédilol, nébivolol)
C03DA01 (spironolactone)
C03DA04 (éplérénone)
C03CA01 (furosémide)
A10BK (gliflozines : dapagliflozine)
C01AA05 (digoxine)
C01CE02 (milrinone)";"ASSOCIATION NÉCESSAIRE : La triade IEC/ARA2 + BB + spironolactone/éplérénone est très évocatrice.
Furosémide seul = non spécifique (IRC, cirrhose).
Dapagliflozine = IC ou DT2.
Digoxine + furosémide = IC quasi-certaine.
Milrinone = IC sévère/décompensée.";Spironolactone/Éplérénone (dans contexte CV), Dapagliflozine, Ivabradine;NON (sauf milrinone, sacubitril/valsartan, ivabradine = très spécifiques IC);"IEC + BB + Spironolactone + Furosémide
± Dapagliflozine ± Digoxine
Ivabradine si FC non contrôlée";FEVG à connaître, risque décompensation, gestion volémique, interactions anesthésiques, maintien BB/IEC, monitorage hémodynamique
HTA (simple);2;"C09AA (IEC)
C09CA (ARA2)
C08CA (ICa DHP : amlodipine)
C03AA (thiazidiques)
C07AB (BB)";"SEUL SUFFIT : Tout antihypertenseur en monothérapie → HTA.
Attention : IEC/ARA2 et BB aussi prescrits dans IC et coronaropathie.
Le contexte d'association permet de distinguer.";Amlodipine, Lercanidipine, Irbésartan, Périndopril, Ramipril;OUI (tout antihypertenseur);"Monothérapie → bithérapie → trithérapie
HTA résistante : ≥3 classes + souvent clonidine/rilménidine/urapidil";Maintien traitement J0 (sauf IEC/ARA2 selon protocole), pics hypertensifs, interactions, HTA résistante = évaluer retentissement
HTAP;3;"C02KX01 (bosentan)
C02KX02 (ambrisentan/Volibris)
B01AC09 (époprosténol)
C02KX (autres : iloprost)
G04BE03 (sildénafil si chronique)";"SEUL SUFFIT : Bosentan, ambrisentan, iloprost, époprosténol = pathognomonique HTAP.
Sildénafil chronique peut indiquer HTAP.";Bosentan, Ambrisentan (Volibris), Iloprost;OUI (tout traitement spécifique HTAP);Bosentan/Ambrisentan + Sildénafil + Prostacyclines;CRITIQUE : anesthésie à très haut risque, ETT/cathétérisme droit, éviter augmentation RVP, monitorage invasif
Valvulopathie / Prothèse valvulaire;2;"B01AA (AVK : warfarine, fluindione)
NON AOD si valve mécanique";"INDICE : AVK au long cours (surtout warfarine) sans FA connue → suspecter valve mécanique.
Les AOD sont contre-indiqués sur valve mécanique.
AVK + absence de FA documentée = penser valve.";Warfarine, AVK au long cours;NON (AVK = FA ou valve, à distinguer);AVK seul (valve mécanique) ou AVK + antiarythmique (valve + FA);Relais AVK/héparine, risque thrombotique, prophylaxie endocardite, écho pré-op
RESPIRATOIRE;;;;;;;
Asthme;2;"R03AC02 (salbutamol)
R03BA (corticoïdes inhalés)
R03AK (associations LABA+CSI)
R03DC03 (montélukast)
R03DX05 (omalizumab)";"SEUL SUFFIT : Salbutamol de secours = asthme probable.
CSI (budésonide, fluticasone inhalé) = asthme persistant.
Montélukast seul = asthme léger.
Omalizumab/Mépolizumab = asthme sévère allergique/éosinophilique.";Salbutamol, Budésonide inhalé, Montélukast;OUI (salbutamol ou CSI inhalé);"Salbutamol + CSI ± LABA ± Montélukast
Sévère : + biothérapie (omalizumab, mépolizumab)";Risque bronchospasme, éviter histaminolibérateurs, BB non cardiosélectifs CI, ventilation protectrice, CSI à maintenir
